# Date,2022-06-09,¿ÀÈÄ 9:14,,,
# MEAS MODE,C-V,,,,
,,,,,
Time [s],DC Voltage [V],Cp [F],D,Frequency [Hz],AC Voltage [Vrms]
0,-1,1.44E-10,1.03E-01,1.00E+04,0.05
1.9777,-0.9,1.44E-10,1.02E-01,1.00E+04,0.05
3.9312,-0.8,1.44E-10,1.00E-01,1.00E+04,0.05
5.8852,-0.7,1.44E-10,1.02E-01,1.00E+04,0.05
7.8962,-0.6,1.44E-10,9.94E-02,1.00E+04,0.05
9.8496,-0.5,1.44E-10,1.01E-01,1.00E+04,0.05
11.8609,-0.4,1.44E-10,1.02E-01,1.00E+04,0.05
13.8139,-0.3,1.44E-10,1.01E-01,1.00E+04,0.05
15.8255,-0.2,1.44E-10,1.00E-01,1.00E+04,0.05
17.7787,-0.1,1.44E-10,1.01E-01,1.00E+04,0.05
19.7322,0,1.44E-10,1.00E-01,1.00E+04,0.05
21.6835,0.1,1.44E-10,1.02E-01,1.00E+04,0.05
23.6362,0.2,1.44E-10,1.00E-01,1.00E+04,0.05
25.6479,0.3,1.44E-10,1.01E-01,1.00E+04,0.05
27.6598,0.4,1.44E-10,9.97E-02,1.00E+04,0.05
29.6132,0.5,1.44E-10,1.07E-01,1.00E+04,0.05
31.6042,0.6,1.44E-10,9.89E-02,1.00E+04,0.05
33.578,0.7,1.44E-10,9.97E-02,1.00E+04,0.05
35.5313,0.8,1.44E-10,1.01E-01,1.00E+04,0.05
37.4842,0.9,1.44E-10,1.02E-01,1.00E+04,0.05
39.437,1,1.44E-10,1.01E-01,1.00E+04,0.05
41.4486,0.9,1.44E-10,1.02E-01,1.00E+04,0.05
43.4597,0.8,1.44E-10,1.01E-01,1.00E+04,0.05
45.4125,0.7,1.44E-10,1.01E-01,1.00E+04,0.05
47.3655,0.6,1.44E-10,1.00E-01,1.00E+04,0.05
49.3194,0.5,1.44E-10,1.02E-01,1.00E+04,0.05
51.2724,0.4,1.44E-10,1.01E-01,1.00E+04,0.05
53.2262,0.3,1.44E-10,1.01E-01,1.00E+04,0.05
55.2374,0.2,1.44E-10,1.03E-01,1.00E+04,0.05
57.19,0.1,1.44E-10,1.02E-01,1.00E+04,0.05
59.1429,0,1.44E-10,1.01E-01,1.00E+04,0.05
61.0952,-0.1,1.44E-10,9.98E-02,1.00E+04,0.05
63.0481,-0.2,1.44E-10,1.02E-01,1.00E+04,0.05
65.0596,-0.3,1.44E-10,1.01E-01,1.00E+04,0.05
67.0126,-0.4,1.44E-10,1.01E-01,1.00E+04,0.05
68.9663,-0.5,1.44E-10,1.00E-01,1.00E+04,0.05
70.9773,-0.6,1.44E-10,1.02E-01,1.00E+04,0.05
72.9886,-0.7,1.44E-10,9.95E-02,1.00E+04,0.05
74.9422,-0.8,1.44E-10,1.01E-01,1.00E+04,0.05
76.8955,-0.9,1.44E-10,1.01E-01,1.00E+04,0.05
78.907,-1,1.44E-10,1.01E-01,1.00E+04,0.05
