# Date,2022-06-09,¿ÀÈÄ 9:16
# MEAS MODE,C-V

Time [s],DC Voltage [V],Cp [F],D,Frequency [Hz],AC Voltage [Vrms]
0.0000,-1.000,144.324000E-12,101.026000E-3,10.000000E+3,0.500000
1.9229,-0.900,144.319000E-12,101.066000E-3,10.000000E+3,0.500000
3.8224,-0.800,144.302000E-12,101.032000E-3,10.000000E+3,0.500000
5.7226,-0.700,144.301000E-12,101.233000E-3,10.000000E+3,0.500000
7.6224,-0.600,144.308000E-12,101.136000E-3,10.000000E+3,0.500000
9.5234,-0.500,144.307000E-12,101.097000E-3,10.000000E+3,0.500000
11.4231,-0.400,144.315000E-12,101.074000E-3,10.000000E+3,0.500000
13.3214,-0.300,144.307000E-12,101.097000E-3,10.000000E+3,0.500000
15.2208,-0.200,144.314000E-12,101.075000E-3,10.000000E+3,0.500000
17.1197,-0.100,144.318000E-12,101.033000E-3,10.000000E+3,0.500000
19.0184,-0.000,144.301000E-12,101.095000E-3,10.000000E+3,0.500000
20.9164,0.100,144.313000E-12,101.038000E-3,10.000000E+3,0.500000
22.8158,0.200,144.309000E-12,101.131000E-3,10.000000E+3,0.500000
24.7146,0.300,144.315000E-12,101.062000E-3,10.000000E+3,0.500000
26.6140,0.400,144.317000E-12,101.112000E-3,10.000000E+3,0.500000
28.5125,0.500,144.313000E-12,101.045000E-3,10.000000E+3,0.500000
30.4114,0.600,144.321000E-12,101.155000E-3,10.000000E+3,0.500000
32.3107,0.700,144.314000E-12,101.067000E-3,10.000000E+3,0.500000
34.2098,0.800,144.321000E-12,101.037000E-3,10.000000E+3,0.500000
36.1086,0.900,144.327000E-12,101.129000E-3,10.000000E+3,0.500000
38.0077,1.000,144.318000E-12,101.073000E-3,10.000000E+3,0.500000
39.9068,0.900,144.310000E-12,101.047000E-3,10.000000E+3,0.500000
41.8054,0.800,144.317000E-12,101.236000E-3,10.000000E+3,0.500000
43.7047,0.700,144.314000E-12,101.082000E-3,10.000000E+3,0.500000
45.6038,0.600,144.330000E-12,101.105000E-3,10.000000E+3,0.500000
47.5024,0.500,144.323000E-12,101.230000E-3,10.000000E+3,0.500000
49.4014,0.400,144.312000E-12,101.092000E-3,10.000000E+3,0.500000
51.3007,0.300,144.332000E-12,101.054000E-3,10.000000E+3,0.500000
53.1994,0.200,144.324000E-12,100.972000E-3,10.000000E+3,0.500000
55.0986,0.100,144.322000E-12,101.051000E-3,10.000000E+3,0.500000
56.9974,-0.000,144.328000E-12,101.068000E-3,10.000000E+3,0.500000
58.8954,-0.100,144.321000E-12,101.000000E-3,10.000000E+3,0.500000
60.7943,-0.200,144.317000E-12,101.051000E-3,10.000000E+3,0.500000
62.6935,-0.300,144.329000E-12,101.112000E-3,10.000000E+3,0.500000
64.5924,-0.400,144.318000E-12,101.117000E-3,10.000000E+3,0.500000
66.4914,-0.500,144.318000E-12,101.083000E-3,10.000000E+3,0.500000
68.3895,-0.600,144.322000E-12,101.094000E-3,10.000000E+3,0.500000
70.2883,-0.700,144.314000E-12,101.144000E-3,10.000000E+3,0.500000
72.1872,-0.800,144.323000E-12,101.139000E-3,10.000000E+3,0.500000
74.0863,-0.900,144.325000E-12,101.126000E-3,10.000000E+3,0.500000
75.9851,-1.000,144.315000E-12,101.081000E-3,10.000000E+3,0.500000
