# Date,2022-06-09,¿ÀÈÄ 9:10
# MEAS MODE,C-V

Time [s],DC Voltage [V],Cp [F],D,Frequency [Hz],AC Voltage [Vrms]
0.0000,-1.000,143.963000E-12,98.802300E-3,10.000000E+3,0.050000
1.9781,-0.900,144.426000E-12,102.816000E-3,10.000000E+3,0.050000
3.9310,-0.800,144.161000E-12,101.253000E-3,10.000000E+3,0.050000
5.8844,-0.700,144.026000E-12,100.846000E-3,10.000000E+3,0.050000
7.8382,-0.600,144.134000E-12,100.415000E-3,10.000000E+3,0.050000
9.7920,-0.500,143.932000E-12,101.876000E-3,10.000000E+3,0.050000
11.7453,-0.400,143.824000E-12,101.386000E-3,10.000000E+3,0.050000
13.6990,-0.300,144.026000E-12,101.026000E-3,10.000000E+3,0.050000
15.6522,-0.200,144.469000E-12,103.588000E-3,10.000000E+3,0.050000
17.6637,-0.100,144.341000E-12,100.405000E-3,10.000000E+3,0.050000
19.6754,-0.000,143.984000E-12,101.052000E-3,10.000000E+3,0.050000
21.6269,0.100,144.343000E-12,102.088000E-3,10.000000E+3,0.050000
23.5795,0.200,143.947000E-12,101.741000E-3,10.000000E+3,0.050000
25.5330,0.300,144.172000E-12,101.167000E-3,10.000000E+3,0.050000
27.5448,0.400,144.232000E-12,100.106000E-3,10.000000E+3,0.050000
29.4975,0.500,143.836000E-12,100.417000E-3,10.000000E+3,0.050000
31.4503,0.600,143.956000E-12,103.155000E-3,10.000000E+3,0.050000
33.4035,0.700,144.073000E-12,103.110000E-3,10.000000E+3,0.050000
35.3563,0.800,144.296000E-12,101.471000E-3,10.000000E+3,0.050000
37.3095,0.900,144.015000E-12,100.965000E-3,10.000000E+3,0.050000
39.2622,1.000,144.173000E-12,99.767600E-3,10.000000E+3,0.050000
41.2746,0.900,144.125000E-12,102.335000E-3,10.000000E+3,0.050000
43.2282,0.800,144.222000E-12,101.193000E-3,10.000000E+3,0.050000
45.1810,0.700,144.238000E-12,102.960000E-3,10.000000E+3,0.050000
47.1340,0.600,144.345000E-12,102.751000E-3,10.000000E+3,0.050000
49.0875,0.500,143.864000E-12,101.223000E-3,10.000000E+3,0.050000
51.0989,0.400,144.054000E-12,102.111000E-3,10.000000E+3,0.050000
53.0521,0.300,144.071000E-12,100.815000E-3,10.000000E+3,0.050000
55.0640,0.200,144.013000E-12,101.545000E-3,10.000000E+3,0.050000
57.0167,0.100,144.044000E-12,103.099000E-3,10.000000E+3,0.050000
59.0283,-0.000,144.063000E-12,99.785200E-3,10.000000E+3,0.050000
60.9805,-0.100,144.259000E-12,100.262000E-3,10.000000E+3,0.050000
62.9335,-0.200,144.184000E-12,101.444000E-3,10.000000E+3,0.050000
64.8875,-0.300,144.253000E-12,101.778000E-3,10.000000E+3,0.050000
66.8409,-0.400,143.845000E-12,101.604000E-3,10.000000E+3,0.050000
68.7951,-0.500,143.989000E-12,100.311000E-3,10.000000E+3,0.050000
70.8075,-0.600,143.881000E-12,100.017000E-3,10.000000E+3,0.050000
72.7608,-0.700,144.195000E-12,101.810000E-3,10.000000E+3,0.050000
74.7149,-0.800,143.984000E-12,101.876000E-3,10.000000E+3,0.050000
76.6681,-0.900,144.036000E-12,101.173000E-3,10.000000E+3,0.050000
78.6795,-1.000,144.091000E-12,101.275000E-3,10.000000E+3,0.050000
