# Date,2022-06-09,¿ÀÈÄ 9:28
# MEAS MODE,C-V

Time [s],DC Voltage [V],Cp [F],D,Frequency [Hz],AC Voltage [Vrms]
0.0000,-1.000,182.461000E-12,99.624000E-3,10.000000E+3,0.050000
1.9780,-0.900,182.251000E-12,100.376000E-3,10.000000E+3,0.050000
3.9311,-0.800,182.629000E-12,98.984700E-3,10.000000E+3,0.050000
5.8851,-0.700,182.457000E-12,99.720600E-3,10.000000E+3,0.050000
7.8962,-0.600,182.673000E-12,102.936000E-3,10.000000E+3,0.050000
9.8493,-0.500,182.644000E-12,103.681000E-3,10.000000E+3,0.050000
11.8031,-0.400,182.743000E-12,98.123000E-3,10.000000E+3,0.050000
13.7567,-0.300,182.557000E-12,99.225800E-3,10.000000E+3,0.050000
15.7113,-0.200,183.344000E-12,102.185000E-3,10.000000E+3,0.050000
17.6643,-0.100,182.259000E-12,102.013000E-3,10.000000E+3,0.050000
19.6180,-0.000,182.318000E-12,100.844000E-3,10.000000E+3,0.050000
21.5692,0.100,182.928000E-12,100.824000E-3,10.000000E+3,0.050000
23.5229,0.200,183.211000E-12,98.323900E-3,10.000000E+3,0.050000
25.4758,0.300,182.991000E-12,101.670000E-3,10.000000E+3,0.050000
27.4288,0.400,182.290000E-12,102.967000E-3,10.000000E+3,0.050000
29.3816,0.500,182.606000E-12,102.124000E-3,10.000000E+3,0.050000
31.3350,0.600,182.905000E-12,100.107000E-3,10.000000E+3,0.050000
33.2874,0.700,182.515000E-12,100.958000E-3,10.000000E+3,0.050000
35.2400,0.800,182.624000E-12,99.770800E-3,10.000000E+3,0.050000
37.1931,0.900,182.659000E-12,97.856300E-3,10.000000E+3,0.050000
39.2047,1.000,182.774000E-12,101.861000E-3,10.000000E+3,0.050000
41.1582,0.900,182.716000E-12,99.102100E-3,10.000000E+3,0.050000
43.1117,0.800,182.513000E-12,99.623000E-3,10.000000E+3,0.050000
45.0645,0.700,182.818000E-12,100.350000E-3,10.000000E+3,0.050000
47.0176,0.600,182.887000E-12,99.905800E-3,10.000000E+3,0.050000
48.9705,0.500,182.769000E-12,99.121600E-3,10.000000E+3,0.050000
50.9239,0.400,182.965000E-12,98.370800E-3,10.000000E+3,0.050000
52.8774,0.300,182.668000E-12,99.066900E-3,10.000000E+3,0.050000
54.8308,0.200,182.532000E-12,98.259200E-3,10.000000E+3,0.050000
56.7845,0.100,182.566000E-12,100.461000E-3,10.000000E+3,0.050000
58.7379,-0.000,182.686000E-12,101.482000E-3,10.000000E+3,0.050000
60.6895,-0.100,182.820000E-12,99.496700E-3,10.000000E+3,0.050000
62.6432,-0.200,182.805000E-12,100.091000E-3,10.000000E+3,0.050000
64.5960,-0.300,182.303000E-12,100.008000E-3,10.000000E+3,0.050000
66.5489,-0.400,182.903000E-12,97.777300E-3,10.000000E+3,0.050000
68.5031,-0.500,182.814000E-12,100.696000E-3,10.000000E+3,0.050000
70.4565,-0.600,182.583000E-12,100.490000E-3,10.000000E+3,0.050000
72.4104,-0.700,182.456000E-12,100.095000E-3,10.000000E+3,0.050000
74.3638,-0.800,183.041000E-12,101.793000E-3,10.000000E+3,0.050000
76.3164,-0.900,182.433000E-12,99.431100E-3,10.000000E+3,0.050000
78.2703,-1.000,182.369000E-12,100.463000E-3,10.000000E+3,0.050000
