# Date,2022-06-09,¿ÀÈÄ 9:27
# MEAS MODE,C-V

Time [s],DC Voltage [V],Cp [F],D,Frequency [Hz],AC Voltage [Vrms]
0.0000,-1.000,156.969000E-12,114.894000E-3,100.000000E+3,0.050000
1.9222,-0.900,156.973000E-12,114.830000E-3,100.000000E+3,0.050000
3.8795,-0.800,157.074000E-12,114.155000E-3,100.000000E+3,0.050000
5.7780,-0.700,157.002000E-12,115.024000E-3,100.000000E+3,0.050000
7.6770,-0.600,156.973000E-12,114.426000E-3,100.000000E+3,0.050000
9.5754,-0.500,157.039000E-12,114.710000E-3,100.000000E+3,0.050000
11.4748,-0.400,157.079000E-12,114.787000E-3,100.000000E+3,0.050000
13.3739,-0.300,157.014000E-12,114.752000E-3,100.000000E+3,0.050000
15.2723,-0.200,157.071000E-12,114.698000E-3,100.000000E+3,0.050000
17.1708,-0.100,157.023000E-12,114.479000E-3,100.000000E+3,0.050000
19.0698,-0.000,157.101000E-12,115.034000E-3,100.000000E+3,0.050000
20.9667,0.100,157.068000E-12,114.502000E-3,100.000000E+3,0.050000
22.8638,0.200,157.001000E-12,114.684000E-3,100.000000E+3,0.050000
24.7622,0.300,156.982000E-12,114.739000E-3,100.000000E+3,0.050000
26.6599,0.400,157.092000E-12,114.903000E-3,100.000000E+3,0.050000
28.5586,0.500,157.003000E-12,114.680000E-3,100.000000E+3,0.050000
30.4576,0.600,157.015000E-12,114.875000E-3,100.000000E+3,0.050000
32.3566,0.700,157.005000E-12,114.674000E-3,100.000000E+3,0.050000
34.2555,0.800,157.083000E-12,114.788000E-3,100.000000E+3,0.050000
36.1543,0.900,156.973000E-12,114.494000E-3,100.000000E+3,0.050000
38.0534,1.000,157.043000E-12,114.755000E-3,100.000000E+3,0.050000
39.9523,0.900,157.007000E-12,114.606000E-3,100.000000E+3,0.050000
41.8516,0.800,157.028000E-12,114.511000E-3,100.000000E+3,0.050000
43.8085,0.700,157.010000E-12,115.056000E-3,100.000000E+3,0.050000
45.7071,0.600,157.034000E-12,114.491000E-3,100.000000E+3,0.050000
47.6061,0.500,157.015000E-12,114.828000E-3,100.000000E+3,0.050000
49.5045,0.400,157.105000E-12,114.309000E-3,100.000000E+3,0.050000
51.4033,0.300,157.061000E-12,114.579000E-3,100.000000E+3,0.050000
53.3019,0.200,157.071000E-12,114.679000E-3,100.000000E+3,0.050000
55.2007,0.100,157.020000E-12,114.527000E-3,100.000000E+3,0.050000
57.0997,-0.000,157.018000E-12,114.911000E-3,100.000000E+3,0.050000
58.9969,-0.100,157.070000E-12,114.721000E-3,100.000000E+3,0.050000
60.8959,-0.200,157.083000E-12,114.689000E-3,100.000000E+3,0.050000
62.7947,-0.300,157.046000E-12,114.805000E-3,100.000000E+3,0.050000
64.6937,-0.400,157.052000E-12,114.634000E-3,100.000000E+3,0.050000
66.5923,-0.500,157.070000E-12,114.796000E-3,100.000000E+3,0.050000
68.4918,-0.600,157.000000E-12,115.048000E-3,100.000000E+3,0.050000
70.3915,-0.700,157.058000E-12,115.078000E-3,100.000000E+3,0.050000
72.2907,-0.800,157.076000E-12,114.541000E-3,100.000000E+3,0.050000
74.1896,-0.900,157.032000E-12,115.192000E-3,100.000000E+3,0.050000
76.0887,-1.000,157.018000E-12,114.955000E-3,100.000000E+3,0.050000
